time (s),rssi (dBm),longitude (deg),latitude (deg),error (dil)
1448230553.45,-89,64.85864893333333,-147.81640156666666,0.6
1448230559.825,-82,64.85864893333333,-147.81640156666666,0.4
1448230565.019,-80,64.85864893333333,-147.81640156666666,0.8
1448230570.206,-86,64.85864893333333,-147.81640156666666,0.4
1448230575.369,-85,64.85864893333333,-147.81640156666666,0.6
1448230580.535,-87,64.85853851666667,-147.81635055,0.4
1448230585.72,-87,64.85852845,-147.81636883333334,0.4
1448230590.906,-74,64.85852845,-147.81636883333334,0.4
1448230596.066,-75,64.8585574,-147.81626466666665,0.4
1448230601.246,-87,64.85859998333333,-147.8161685,0.4
1448230607.437,-88,64.85864955,-147.81620588333334,0.4
1448230612.587,-73,64.85862893333334,-147.81625318333334,0.4
1448230617.764,-73,64.85860231666666,-147.81644006666667,0.6
1448230622.934,-67,64.85859856666667,-147.81646448333333,0.6
1448230628.112,-73,64.85855091666667,-147.81655956666665,0.4
1448230633.591,-91,64.85851293333333,-147.81665631666667,0.4
1448230640.391,-89,64.8584941,-147.81675043333334,0.4
1448230645.515,-80,64.85851483333333,-147.81684505,0.4
1448230651.913,-78,64.85851483333333,-147.81684505,0.6
1448230657.115,-73,64.85859896666666,-147.8166844,0.6
1448230662.28,-81,64.85864733333334,-147.81658211666667,0.4
1448230667.421,-72,64.85868833333333,-147.81649336666666,0.4
1448230672.54,-65,64.85868833333333,-147.81649336666666,0.4
1448230677.719,-72,64.85868833333333,-147.81649336666666,0.6
1448230682.887,-72,64.85873163333333,-147.81634106666667,0.6
1448230688.012,-71,64.85875895,-147.81648166666668,0.6
1448230694.08,-93,64.8587313,-147.8166632,0.4
1448230699.223,-81,64.85869801666666,-147.81675096666666,0.6
1448230704.401,-73,64.85869801666666,-147.81675096666666,0.8
1448230709.588,-76,64.85869801666666,-147.81675096666666,0.8
1448230714.773,-64,64.85863685,-147.816902,0.8
1448230719.956,-66,64.85863685,-147.816902,0.8
1448230725.138,-72,0,0,0
1448230731.42,-51,64.85863685,-147.816902,4.8
1448230736.529,-41,0,0,0
1448230741.648,-53,0,0,0
1448230746.831,-49,64.85863685,-147.816902,3.2
