Source:,/home/kleinjt/repos/ee646_wireless_sensor_networks_project/antenna_node/antenna_node.sch
Date:,Fri Sep 18 10:08:01 2015
Tool:,Eeschema (after 2015-mar-04 BZR unknown)-product
Generator:,/usr/local/share/doc/kicad/scripts/bom-in-python/bom_csv_grouped_by_value.py
Component Count:,57

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DIST_PN
9,1,D1,RED,device:Led_Small,LEDs:LED-0603,,160-1447-1-ND
10,1,L1,5.6 nH,device:L_Small,Resistors_SMD:R_0603,,490-1164-1-ND
11,4,"L2, L3, L4, L5",2.2 kOhm,device:L_Small,Resistors_SMD:R_0603,,240-2377-1-ND
12,2,"P1, P2",CONN_01X03,conn:CONN_01X03,Connect:PINHEAD1-3,,609-3461-ND
13,1,P3,CONN_01X02,conn:CONN_01X02,sensornode:BC2AAPC,,BC2AAPC-ND
14,1,P4,DIL16,conn:DIL16,sensornode:CHS-08TA,,
15,1,P5,CONN_01X06,conn:CONN_01X06,sensornode:LPPB061NGCN-RC,,S9010E-06-ND
16,1,P6,CONN_01X03,conn:CONN_01X03,sensornode:U.FL-COAX,,
17,1,Q1,Q_PMOS_GDS,device:Q_PMOS_GDS,Housings_SOT-23_SOT-143_TSOT-6:SOT-23_Handsoldering,,568-12594-1-ND
18,3,"R1, R3, R9",56k,device:R_Small,Resistors_SMD:R_0603,,P56.0KHCT-ND
19,6,"R10, R13, R4, R5, R6, R7",0,device:R,Resistors_SMD:R_0603,,P0.0GCT-ND
20,3,"R11, R12, R8",DNP,device:R,Resistors_SMD:R_0603,,P0.0GCT-ND
21,1,R2,1,device:R,Resistors_SMD:R_0603,,RL0816S-1R0-F
22,2,"SW1, SW2",SW_PUSH,device:SW_PUSH,sensornode:PTS820J20MSMTRLFS,,CKN10505CT-ND
23,1,Y1,Crystal_Small,device:Crystal_Small,Resistors_SMD:R_1210_HandSoldering,,300-8815-1-ND
